date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:09:42	95786/95786	---M--	200	added ('OK')	application/javascript	etag:%221762a-5b0098e0d8c00%22	https://hagiangopentour.com/template/frontend/js/jquery.min.js	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/template/frontend/js/jquery.min.js	(from https://hagiangopentour.com/)
10:09:43	1242/1242	---M--	200	added ('OK')	image/gif	etag:%224da-5b1114f62f900%22	https://hagiangopentour.com/template/backend/img/vietnam.gif	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/template/backend/img/vietnam.gif	(from https://hagiangopentour.com/)
10:09:44	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2011%20Jan%202024%2003:06:32%20GMT	https://hagiangopentour.com/?lang=vietnamese	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/indexe358.html	(from https://hagiangopentour.com/)
10:09:44	1550/1550	---M--	200	added ('OK')	image/png	etag:%2260e-5b1114f447480%22	https://hagiangopentour.com/template/backend/img/english.png	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/template/backend/img/english.png	(from https://hagiangopentour.com/)
10:09:45	325/325	---M--	200	added ('OK')	image/png	etag:%22145-5bf5aba3bdb00%22	https://hagiangopentour.com/template/125px-Flag_of_France.svg.png	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/template/125px-Flag_of_France.svg.png	(from https://hagiangopentour.com/)
10:09:46	70337/70337	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:06:34%20GMT	https://hagiangopentour.com/gioi-thieu-ve-ha-giang-open-tour.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/gioi-thieu-ve-ha-giang-open-tour.html	(from https://hagiangopentour.com/)
10:09:47	196004/196004	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:06:35%20GMT	https://hagiangopentour.com/tour-ha-giang.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-ha-giang.html	(from https://hagiangopentour.com/)
10:09:48	106492/106492	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:06:36%20GMT	https://hagiangopentour.com/tour-o-to-ha-giang.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-o-to-ha-giang.html	(from https://hagiangopentour.com/)
10:09:49	109015/109015	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:06:37%20GMT	https://hagiangopentour.com/tour-phuot-xe-may.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-phuot-xe-may.html	(from https://hagiangopentour.com/)
10:09:50	83478/83478	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:06:38%20GMT	https://hagiangopentour.com/tour-xe-jeep-ha-giang.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-xe-jeep-ha-giang.html	(from https://hagiangopentour.com/)
10:09:51	153560/153560	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:06:39%20GMT	https://hagiangopentour.com/du-lich-ha-giang-3-ngay-4-dem-trai-nghiem-ngu-homestay.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/du-lich-ha-giang-3-ngay-4-dem-trai-nghiem-ngu-homestay.html	(from https://hagiangopentour.com/)
10:09:52	136104/136104	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:06:40%20GMT	https://hagiangopentour.com/tour-o-to-tu-lai-caravan-ha-giang.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-o-to-tu-lai-caravan-ha-giang.html	(from https://hagiangopentour.com/)
10:09:53	79032/79032	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:06:41%20GMT	https://hagiangopentour.com/tour-ha-giang-hoang-su-phi.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-ha-giang-hoang-su-phi.html	(from https://hagiangopentour.com/)
10:09:54	83980/83980	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:06:42%20GMT	https://hagiangopentour.com/tour-ha-giang-cao-bang-ban-gioc-ba-be.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-ha-giang-cao-bang-ban-gioc-ba-be.html	(from https://hagiangopentour.com/)
10:09:55	111906/111906	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:06:43%20GMT	https://hagiangopentour.com/tour-ha-giang-sapa.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-ha-giang-sapa.html	(from https://hagiangopentour.com/)
10:09:56	69059/69059	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:06:44%20GMT	https://hagiangopentour.com/tour-ha-giang-ninh-binh.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-ha-giang-ninh-binh.html	(from https://hagiangopentour.com/)
10:09:57	69569/69569	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:06:45%20GMT	https://hagiangopentour.com/tour-ha-giang-ha-long.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-ha-giang-ha-long.html	(from https://hagiangopentour.com/)
10:09:58	165868/165868	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:06:46%20GMT	https://hagiangopentour.com/tour-du-lich-mien-bac.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-du-lich-mien-bac.html	(from https://hagiangopentour.com/)
10:09:59	90913/90913	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:06:47%20GMT	https://hagiangopentour.com/tour-mien-bac-1-ngay.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-mien-bac-1-ngay.html	(from https://hagiangopentour.com/)
10:10:00	87965/87965	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:06:48%20GMT	https://hagiangopentour.com/tour-mien-bac-2-ngay.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-mien-bac-2-ngay.html	(from https://hagiangopentour.com/)
10:10:01	72230/72230	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:06:49%20GMT	https://hagiangopentour.com/tour-mien-bac-3-ngay.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-mien-bac-3-ngay.html	(from https://hagiangopentour.com/)
10:10:02	78935/78935	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:06:50%20GMT	https://hagiangopentour.com/tour-mien-bac-4-ngay.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-mien-bac-4-ngay.html	(from https://hagiangopentour.com/)
10:10:03	98933/98933	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:06:51%20GMT	https://hagiangopentour.com/tour-mien-bac-5-ngay.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-mien-bac-5-ngay.html	(from https://hagiangopentour.com/)
10:10:04	75867/75867	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:06:52%20GMT	https://hagiangopentour.com/tour-mien-bac-6-ngay.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-mien-bac-6-ngay.html	(from https://hagiangopentour.com/)
10:10:05	89778/89778	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:06:53%20GMT	https://hagiangopentour.com/tour-du-lich-tay-bac.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-du-lich-tay-bac.html	(from https://hagiangopentour.com/)
10:10:06	77449/77449	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:06:54%20GMT	https://hagiangopentour.com/du-lich-sapa.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/du-lich-sapa.html	(from https://hagiangopentour.com/)
10:10:07	71054/71054	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:06:55%20GMT	https://hagiangopentour.com/tour-mu-cang-chai.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-mu-cang-chai.html	(from https://hagiangopentour.com/)
10:10:08	70688/70688	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:06:56%20GMT	https://hagiangopentour.com/du-lich-moc-chau.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/du-lich-moc-chau.html	(from https://hagiangopentour.com/)
10:10:09	70467/70467	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:06:57%20GMT	https://hagiangopentour.com/tour-du-lich-mai-chau.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-du-lich-mai-chau.html	(from https://hagiangopentour.com/)
10:10:10	84219/84219	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:06:58%20GMT	https://hagiangopentour.com/tour-dong-bac.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-dong-bac.html	(from https://hagiangopentour.com/)
10:10:11	74323/74323	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:06:59%20GMT	https://hagiangopentour.com/du-lich-ha-long.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/du-lich-ha-long.html	(from https://hagiangopentour.com/)
10:10:12	70964/70964	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:07:00%20GMT	https://hagiangopentour.com/du-lich-ninh-binh.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/du-lich-ninh-binh.html	(from https://hagiangopentour.com/)
10:10:13	98173/98173	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:07:01%20GMT	https://hagiangopentour.com/tour-ba-be-thac-ban-gioc.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-ba-be-thac-ban-gioc.html	(from https://hagiangopentour.com/)
10:10:14	0/0	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:07:02%20GMT	https://hagiangopentour.com/du-lich-mien-bac.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/du-lich-mien-bac.html	(from https://hagiangopentour.com/)
10:10:15	70316/70316	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:07:03%20GMT	https://hagiangopentour.com/ve-xe-bus-ha-giang-hang-ngay.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/ve-xe-bus-ha-giang-hang-ngay.html	(from https://hagiangopentour.com/)
10:10:16	66556/66556	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:07:04%20GMT	https://hagiangopentour.com/ve-xe-bus-ha-noi-ha-giang.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/ve-xe-bus-ha-noi-ha-giang.html	(from https://hagiangopentour.com/)
10:10:17	57623/57623	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:07:05%20GMT	https://hagiangopentour.com/ve-xe-bus-ha-giang-ninh-binh.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/ve-xe-bus-ha-giang-ninh-binh.html	(from https://hagiangopentour.com/)
10:10:18	63445/63445	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:07:06%20GMT	https://hagiangopentour.com/ve-xe-bus-ha-giang-ha-noi.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/ve-xe-bus-ha-giang-ha-noi.html	(from https://hagiangopentour.com/)
10:10:19	57552/57552	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:07:07%20GMT	https://hagiangopentour.com/ve-xe-bus-ha-giang-sapa.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/ve-xe-bus-ha-giang-sapa.html	(from https://hagiangopentour.com/)
10:10:20	57603/57603	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:07:08%20GMT	https://hagiangopentour.com/ve-xe-bus-ha-giang-ha-long.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/ve-xe-bus-ha-giang-ha-long.html	(from https://hagiangopentour.com/)
10:10:21	57750/57750	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:07:09%20GMT	https://hagiangopentour.com/ve-xe-bus-ha-giang-hai-phong-cat-ba.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/ve-xe-bus-ha-giang-hai-phong-cat-ba.html	(from https://hagiangopentour.com/)
10:10:22	83924/83924	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:07:10%20GMT	https://hagiangopentour.com/cho-thue-xe-du-lich-ha-giang.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/cho-thue-xe-du-lich-ha-giang.html	(from https://hagiangopentour.com/)
10:10:23	77646/77646	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:07:11%20GMT	https://hagiangopentour.com/cho-thue-xe-o-to.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/cho-thue-xe-o-to.html	(from https://hagiangopentour.com/)
10:10:24	62898/62898	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:07:12%20GMT	https://hagiangopentour.com/cho-thue-xe-may.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/cho-thue-xe-may.html	(from https://hagiangopentour.com/)
10:10:25	66769/66769	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:07:13%20GMT	https://hagiangopentour.com/lien-he-tu-van-mien-phi.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/lien-he-tu-van-mien-phi.html	(from https://hagiangopentour.com/)
10:10:26	69453/69453	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:07:14%20GMT	https://hagiangopentour.com/trai-nghiem-ngu-homestay.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/trai-nghiem-ngu-homestay.html	(from https://hagiangopentour.com/)
10:10:27	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2011%20Jan%202024%2003:07:15%20GMT	https://hagiangopentour.com/en/?lang=japan	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/en/index2912.html	(from https://hagiangopentour.com/)
10:10:27	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2011%20Jan%202024%2003:07:15%20GMT	https://hagiangopentour.com/fr/?lang=korea	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/fr/indexf9ca.html	(from https://hagiangopentour.com/)
10:10:27	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2011%20Jan%202024%2003:07:15%20GMT	https://hagiangopentour.com/tour-ha-giang-3-ngay-2-dem.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-ha-giang-3-ngay-2-dem.35.delayed	(from https://hagiangopentour.com/)
10:10:28	0/-1	---M--	307	error ('')			https://hagiangopentour.com/tour-ha-giang-3-ngay-2-dem.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-ha-giang-3-ngay-2-dem.36.delayed	(from https://hagiangopentour.com/)
10:10:28	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2011%20Jan%202024%2003:07:16%20GMT	https://hagiangopentour.com/tour-ha-giang-4-ngay-3-dem.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-ha-giang-4-ngay-3-dem.html	(from https://hagiangopentour.com/)
10:10:29	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2011%20Jan%202024%2003:07:17%20GMT	https://hagiangopentour.com/tour-ha-giang-4-ngay-3-dem.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-ha-giang-4-ngay-3-dem.html	(from https://hagiangopentour.com/)
10:10:30	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2011%20Jan%202024%2003:07:18%20GMT	https://hagiangopentour.com/tour-ha-noi-ha-giang-5-ngay-4-dem.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-ha-noi-ha-giang-5-ngay-4-dem.html	(from https://hagiangopentour.com/)
10:10:31	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2011%20Jan%202024%2003:07:19%20GMT	https://hagiangopentour.com/tour-ha-noi-ha-giang-5-ngay-4-dem.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-ha-noi-ha-giang-5-ngay-4-dem.html	(from https://hagiangopentour.com/)
10:10:32	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2011%20Jan%202024%2003:07:20%20GMT	https://hagiangopentour.com/du-lich-ha-giang-2-ngay-3-dem.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/du-lich-ha-giang-2-ngay-3-dem.html	(from https://hagiangopentour.com/)
10:10:33	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2011%20Jan%202024%2003:07:21%20GMT	https://hagiangopentour.com/du-lich-ha-giang-2-ngay-3-dem.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/du-lich-ha-giang-2-ngay-3-dem.html	(from https://hagiangopentour.com/)
10:10:34	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2011%20Jan%202024%2003:07:22%20GMT	https://hagiangopentour.com/tour-ha-giang-3-ngay-4-dem-bang-o-to.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-ha-giang-3-ngay-4-dem-bang-o-to.html	(from https://hagiangopentour.com/)
10:10:35	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2011%20Jan%202024%2003:07:23%20GMT	https://hagiangopentour.com/tour-ha-giang-3-ngay-4-dem-bang-o-to.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-ha-giang-3-ngay-4-dem-bang-o-to.html	(from https://hagiangopentour.com/)
10:10:36	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2011%20Jan%202024%2003:07:24%20GMT	https://hagiangopentour.com/tour-phuot-xe-may-ha-giang-2-ngay-3-dem.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-phuot-xe-may-ha-giang-2-ngay-3-dem.html	(from https://hagiangopentour.com/)
10:10:37	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2011%20Jan%202024%2003:07:25%20GMT	https://hagiangopentour.com/tour-phuot-xe-may-ha-giang-2-ngay-3-dem.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-phuot-xe-may-ha-giang-2-ngay-3-dem.html	(from https://hagiangopentour.com/)
10:10:38	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2011%20Jan%202024%2003:07:26%20GMT	https://hagiangopentour.com/tour-xe-may-ha-giang-pa-vi-3-ngay-4-dem.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-xe-may-ha-giang-pa-vi-3-ngay-4-dem.html	(from https://hagiangopentour.com/)
10:10:39	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2011%20Jan%202024%2003:07:27%20GMT	https://hagiangopentour.com/tour-xe-may-ha-giang-pa-vi-3-ngay-4-dem.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-xe-may-ha-giang-pa-vi-3-ngay-4-dem.html	(from https://hagiangopentour.com/)
10:10:40	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2011%20Jan%202024%2003:07:28%20GMT	https://hagiangopentour.com/tour-xe-may-ha-giang-du-gia-3-ngay-4-dem.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-xe-may-ha-giang-du-gia-3-ngay-4-dem.html	(from https://hagiangopentour.com/)
10:10:41	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2011%20Jan%202024%2003:07:29%20GMT	https://hagiangopentour.com/tour-xe-may-ha-giang-du-gia-3-ngay-4-dem.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-xe-may-ha-giang-du-gia-3-ngay-4-dem.html	(from https://hagiangopentour.com/)
10:10:42	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2011%20Jan%202024%2003:07:30%20GMT	https://hagiangopentour.com/tour-ha-giang-4-ngay-3-dem-hmong-village.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-ha-giang-4-ngay-3-dem-hmong-village.html	(from https://hagiangopentour.com/)
10:10:43	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2011%20Jan%202024%2003:07:31%20GMT	https://hagiangopentour.com/tour-ha-giang-4-ngay-3-dem-hmong-village.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-ha-giang-4-ngay-3-dem-hmong-village.html	(from https://hagiangopentour.com/)
10:10:44	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2011%20Jan%202024%2003:07:32%20GMT	https://hagiangopentour.com/tour-du-lich-ha-giang-h-mong-village-3-ngay-2-dem.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-du-lich-ha-giang-h-mong-village-3-ngay-2-dem.html	(from https://hagiangopentour.com/)
10:10:45	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2011%20Jan%202024%2003:07:33%20GMT	https://hagiangopentour.com/tour-du-lich-ha-giang-h-mong-village-3-ngay-2-dem.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-du-lich-ha-giang-h-mong-village-3-ngay-2-dem.html	(from https://hagiangopentour.com/)
10:10:46	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2011%20Jan%202024%2003:07:34%20GMT	https://hagiangopentour.com/tour-hoang-su-phi-ha-giang-quan-ba-dong-van-5-ngay-4-dem.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-hoang-su-phi-ha-giang-quan-ba-dong-van-5-ngay-4-dem.html	(from https://hagiangopentour.com/)
10:10:47	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2011%20Jan%202024%2003:07:35%20GMT	https://hagiangopentour.com/tour-hoang-su-phi-ha-giang-quan-ba-dong-van-5-ngay-4-dem.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-hoang-su-phi-ha-giang-quan-ba-dong-van-5-ngay-4-dem.html	(from https://hagiangopentour.com/)
10:10:48	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2011%20Jan%202024%2003:07:36%20GMT	https://hagiangopentour.com/tour-du-lich-tp-ho-chi-minh-ha-noi-city-ha-giang-hmong-village-5-ngay-4-dem.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-du-lich-tp-ho-chi-minh-ha-noi-city-ha-giang-hmong-village-5-ngay-4-dem.html	(from https://hagiangopentour.com/)
10:10:49	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2011%20Jan%202024%2003:07:37%20GMT	https://hagiangopentour.com/tour-du-lich-tp-ho-chi-minh-ha-noi-city-ha-giang-hmong-village-5-ngay-4-dem.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-du-lich-tp-ho-chi-minh-ha-noi-city-ha-giang-hmong-village-5-ngay-4-dem.html	(from https://hagiangopentour.com/)
10:10:50	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2011%20Jan%202024%2003:07:38%20GMT	https://hagiangopentour.com/tour-ha-giang-ninh-binh-bai-dinh-trang-an-ha-noi-5-ngay-4-dem.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-ha-giang-ninh-binh-bai-dinh-trang-an-ha-noi-5-ngay-4-dem.html	(from https://hagiangopentour.com/)
10:10:51	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2011%20Jan%202024%2003:07:39%20GMT	https://hagiangopentour.com/tour-ha-giang-ninh-binh-bai-dinh-trang-an-ha-noi-5-ngay-4-dem.html	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/tour-ha-giang-ninh-binh-bai-dinh-trang-an-ha-noi-5-ngay-4-dem.html	(from https://hagiangopentour.com/)
